index	u	u_value	x	x_value	m	m_value	y	y_value
0	hgnc:2345	0.5199530530151468	hgnc:4234	-0.14687720821539385	hgnc:1527	-0.6227253480712508	hgnc:1736	0.11475721865260835
0	hgnc:2345	0.4665492485498721	hgnc:4234	-0.11706060877040282	hgnc:1527	0.5747853761704236	hgnc:1736	0.4262369726951698
0	hgnc:2345	-0.8865302815593581	hgnc:4234	0.8192151622179199	hgnc:1527	1.4867295986750926	hgnc:1736	0.04541289417212302
0	hgnc:2345	0.25352138141436686	hgnc:4234	-0.8480176013405146	hgnc:1527	-0.6807193024758298	hgnc:1736	-0.6431339608028849
0	hgnc:2345	-0.996929971624265	hgnc:4234	0.646166436055357	hgnc:1527	1.3994952427682321	hgnc:1736	1.2573902134435462
0	hgnc:2345	-0.10759270457188852	hgnc:4234	-0.3929912198787766	hgnc:1527	-0.9232505407035764	hgnc:1736	0.13394394733199078
0	hgnc:2345	0.8416152292395764	hgnc:4234	0.017703612579198755	hgnc:1527	0.48453695340504477	hgnc:1736	1.7149303748928717
0	hgnc:2345	0.5850818177186901	hgnc:4234	0.20395687547751723	hgnc:1527	-0.17841499620429585	hgnc:1736	-0.44104928724218906
0	hgnc:2345	0.3369324670549454	hgnc:4234	0.4161596812097543	hgnc:1527	-0.22780977408430564	hgnc:1736	-0.45381715294720304
0	hgnc:2345	-0.7480593185070981	hgnc:4234	-0.4490673909777448	hgnc:1527	-0.4706505858100101	hgnc:1736	-1.6123033873837513
0	hgnc:2345	0.6455702632341644	hgnc:4234	0.43505026482135767	hgnc:1527	0.5389129815990336	hgnc:1736	1.0539566493564834
0	hgnc:2345	0.1639008117322991	hgnc:4234	-0.7550176506511904	hgnc:1527	-0.12861612534993927	hgnc:1736	-0.12733534378028222
0	hgnc:2345	0.8255172764637113	hgnc:4234	-0.10147011983642631	hgnc:1527	-0.10451171195793724	hgnc:1736	0.6101796692961025
0	hgnc:2345	0.22462621207621147	hgnc:4234	0.8145470160197561	hgnc:1527	0.9390451289306622	hgnc:1736	1.4767849414543934
